Date,Price,Open,High,Low,Vol.,Change %
6/14/2016,32.517,31.909,32.517,31.909,457.74K,1.91%
6/15/2016,32.517,32.821,33.125,32.213,513.18K,0.00%
6/16/2016,32.517,32.517,32.821,32.213,749.20K,0.00%
6/17/2016,31.605,32.213,32.517,31.605,5.32M,-2.80%
6/20/2016,32.517,31.909,32.821,31.605,381.15K,2.89%
6/21/2016,32.821,32.821,33.125,32.517,548.53K,0.93%
6/22/2016,31.909,32.821,32.821,31.909,764.40K,-2.78%
6/23/2016,32.213,32.213,32.517,31.909,479.82K,0.95%
6/24/2016,31.605,32.213,32.213,30.025,1.88M,-1.89%
6/27/2016,32.653,32.383,32.990,32.316,781.62K,3.32%
6/28/2016,32.181,32.653,32.653,32.181,614.44K,-1.45%
6/29/2016,32.383,32.181,32.721,32.181,927.46K,0.63%
6/30/2016,33.328,32.721,34.407,32.518,1.21M,2.92%
7/1/2016,34.407,34.070,34.744,33.665,1.32M,3.24%
7/4/2016,34.407,34.744,35.082,34.407,681.52K,0.00%
7/5/2016,34.407,34.744,35.419,34.407,858.50K,0.00%
7/6/2016,34.407,34.407,34.744,34.070,783.61K,0.00%
7/7/2016,34.744,34.744,35.082,34.070,949.40K,0.98%
7/8/2016,34.744,35.082,35.082,34.407,1.07M,0.00%
7/11/2016,34.407,34.744,35.082,34.070,937.30K,-0.97%
7/12/2016,35.082,34.407,35.082,34.407,1.48M,1.96%
7/13/2016,37.106,35.419,37.106,35.419,2.34M,5.77%
7/14/2016,36.094,37.106,37.443,36.094,1.44M,-2.73%
7/15/2016,36.768,36.431,36.768,35.756,553.25K,1.87%
7/18/2016,36.431,36.768,36.768,36.094,770.49K,-0.92%
7/19/2016,35.082,36.431,36.768,34.070,2.30M,-3.70%
7/20/2016,33.733,35.082,35.419,33.733,1.77M,-3.85%
7/21/2016,34.070,34.070,34.744,33.665,922.58K,1.00%
7/22/2016,33.733,34.070,34.407,33.463,931.99K,-0.99%
7/25/2016,34.070,34.070,34.407,33.733,220.69K,1.00%
7/26/2016,34.070,34.070,34.407,33.598,394.49K,0.00%
7/27/2016,34.407,34.070,34.407,33.733,497.18K,0.99%
7/28/2016,35.419,34.744,35.756,34.407,783.61K,2.94%
7/29/2016,34.407,35.419,35.419,34.407,532.51K,-2.86%
8/1/2016,34.744,34.744,35.082,34.070,682.80K,0.98%
8/2/2016,34.407,34.070,35.082,34.070,2.00M,-0.97%
8/3/2016,33.260,33.733,34.070,33.058,1.80M,-3.33%
8/4/2016,32.046,33.395,33.463,32.046,1.09M,-3.65%
8/5/2016,30.157,31.371,31.911,30.022,2.73M,-5.89%
8/8/2016,30.157,30.157,30.697,28.065,4.48M,0.00%
8/9/2016,30.697,30.022,30.899,30.022,1.23M,1.79%
8/10/2016,32.788,30.832,32.788,30.832,4.23M,6.81%
8/11/2016,33.058,32.788,33.193,32.518,2.91M,0.82%
8/12/2016,33.058,33.395,33.395,32.788,1.82M,0.00%
8/15/2016,33.058,33.058,33.058,32.721,805.60K,0.00%
8/16/2016,32.316,33.058,33.058,32.046,2.51M,-2.24%
8/17/2016,32.316,32.316,32.855,31.709,2.61M,0.00%
8/18/2016,32.316,32.990,32.990,32.181,641.44K,0.00%
8/19/2016,32.181,32.383,32.653,31.843,1.72M,-0.42%
8/22/2016,31.641,32.383,32.383,31.506,2.36M,-1.68%
8/23/2016,32.721,31.506,32.721,31.304,2.50M,3.41%
8/24/2016,32.721,32.721,32.923,32.586,709.54K,0.00%
8/25/2016,32.586,32.721,32.721,32.248,955.80K,-0.41%
8/26/2016,32.383,32.383,32.586,32.316,356.78K,-0.62%
8/29/2016,32.383,32.383,32.855,32.383,1.27M,0.00%
8/30/2016,32.451,32.383,32.653,32.046,346.67K,0.21%
8/31/2016,32.451,32.383,32.721,32.316,714.73K,0.00%
9/1/2016,32.383,32.518,32.586,32.113,518.45K,-0.21%
9/5/2016,32.316,32.451,32.451,32.113,584.12K,-0.21%
9/6/2016,32.316,32.586,32.653,32.316,886.49K,0.00%
9/7/2016,32.046,32.451,32.451,31.978,763.51K,-0.84%
9/8/2016,32.248,32.383,32.383,32.113,495.29K,0.63%
9/9/2016,32.923,32.721,32.990,32.518,1.36M,2.09%
9/12/2016,33.598,33.733,33.733,32.990,1.08M,2.05%
9/13/2016,33.125,33.395,33.665,33.058,582.95K,-1.41%
9/14/2016,32.586,33.395,33.395,32.586,1.19M,-1.63%
9/15/2016,34.050,33.471,34.215,33.058,997.38K,4.49%
9/16/2016,35.537,33.636,35.537,33.636,3.47M,4.37%
9/19/2016,34.959,35.537,35.537,34.711,541.91K,-1.63%
9/20/2016,35.207,34.463,35.537,34.256,942.69K,0.71%
9/21/2016,36.116,35.537,36.281,35.207,895.15K,2.58%
9/22/2016,36.364,36.116,36.694,36.116,1.25M,0.69%
